0x1f615	বিভ্রান্ত,কি,
0x1f603	মুখ,খোলা,সাধারণ,সাপটা,
0x1f61d	ভয়ঙ্কর,স্বাদ,বিস্বাদ,
0x1f636	ভালো,নীরব,বোতাম,বন্ধ করা,
0x1f468	মানুষ,ছেলে,
0x1f61b	জিহ্বা,
0x1f626	কত,
0x1f604	ধন্যবাদ,
0x2615	পানীয়,কফি,গরম,চা,জাভা দ্বীপ,
0x1f60e	চকচকে,শীতল,সূর্য,এজেন্ট,
0x1f606	সন্তুষ্ট,আস্থা,উদ্রিক্ত,পছন্দ করা,
0x1f609	চোখ মারা,গোপন,কিস্তি,রসিকতা,
0x1f602	আমোদ,হাসি,অশ্রু,অস্রু,মজা,মজাদার,
0x1f622	কান্না,বিষাদ,দুঃখিত,
0x1f617	মুখ,চুম্বন,
0x1f60d	ভালবাসা,হৃদয়,
0x1f60a	অহংকারী,লাজুক,শান্তি,রাঙা,
0x2796	গণিত,বিয়োগ,নদী,কেউ না,
0x1f612	অসুখী,মোটা,
0x1f62e	অনুবেদন,
0x1f61e	ঐত্সুক্য,মনমরা,
0x1f33a	ফুল,
0x270b	কাগজ,চেটো,
0x2614	বিন্দু,
0x1f438	বেঙ,বর্ষাকাল,
0x1f601	চোখ,অচ্ছিদ্র,দাঁত,সে,চমৎকার,
0x1f44c	অর্থ,
0x1f621	রাগান্বিত,খেপা,ক্ষোভ,লাল,জ্বালাতন করা,
0x1f49c	রক্তবর্ণ,সাহসী,
0x1f498	তীর,কিউপিড,ইরোজ,
0x1f52b	বন্দুক,বন্দুক,চোদা,গুলি চালানো,পিস্তল,অপরাধমূলক,
0x1f62d	ক্রন্দন,
0x2705	ছাপ মারা,নিশ্চিত করা,
0x1f616	অপ্রতিভ,করাল,
0x1f600	মুখ,অনুরূপ,খুশি,অপরিম্লান,সম্মত,ফুর্তিবাজ,ভাল,হাসি,
0x1f47f	অসুর,শয়তান,খর,
0x1f64a	বলা,চুপটি,
0x1f61f	ব্যস্ত,চিন্তা,
0x2b50	তারামাছ,
0x1f60f	পরিহাস,
0x1f630	নীল,
0x1f613	দুঃখিত,আতুর,
0x1f637	ডাক্তার,মাস্ক,ঔষধ,ইনফ্লুয়েঞ্জা ভাইরাস,অসুস্থ,ফ্লু,
0x1f62b	ক্লান্ত,উৎপীড়ন কর,দুঃখিত,করাল,
0x1f607	দেব-দূত,কল্পনা,চক্র,নিরীহ,সন্ত,
0x2b55	বৃত্ত,অ,
0x1f339	স্বীকৃতি,গোলাপ,
0x1f334	নারিকেল,
0x1f1e9,0x1f1ea	জার্মানি,
0x270a	মুষ্টি,মুষ্ট্যাঘাত,অঙ্কুশ,দাঁড়ানো,
0x1f648	মন্দ,সংকেত,বাঁদর,না,দেখা,অন্ধ,লুকানো,
0x1f33f	পাতা,গাছ,
0x1f479	জীব,দানব,দানব,ভূত,
0x1f33e	কান,শস্য,ভাত,শস্য,খামার,যব,গম,
0x1f610	নিরপেক্ষ,না,
0x26bd	ফুটবল,ফুটবল,ফিফা,
0x1f37c	বোতল,পানীয়,দুধ,
0x1f449	ইঙ্গিত,ডান,
0x1f490	ফুল,
0x1f333	গাছ,বন,
0x1f497	নাড়ি,পাউন্ড,আসক্তি,
0x1f49a	সবুজ,
0x1f605	শীত,ঘাম,বিশ্রী,বিভ্রান্তি,
0x1f6ac	ধূমপান,সিগারেট,ধোঁয়া,
0x1f633	নকআউট,
0x1f332	গাছ,
0x1f33b	সূর্যমুখী,
0x1f48b	প্রলোভন,
0x1f496	পুষা,
0x1f494	ছুটি,ভাঙা,তালাক,
0x1f375	পেয়ালা,
0x1f3a4	কারাওকে,গায়ক,গাওয়া,
0x1f33c	নিসর্গ,তারুণ্য,
0x1f4e5	ইনবক্স,
0x1f623	অনিচ্ছা,বেদনা,ব্যথা,ক্ষতি,
0x1f30d	আফ্রিকা,ইউরোপ,পৃথিবী,পৃথিবী,দুনিয়া,ইউরো,বিশ্বব্যাপী,
0x1f448	আঙ্গুল,বিষয়সূচি,বিন্দু,বাম,হ্যান্ডগান,
0x1f338	ফুল,চেরি,বসন্ত,
0x1f335	গাছ,কাঁটা,ক্যাক্টাস,মরুভূমি,
0x1f499	হিমায়িত,
0x1f4a5	বিস্কোরণ,ক্র্যাশ,
0x1f618	চুম্বন,বিদায়,
0x1f480	মৃত্যু,শিলা,কঙ্কাল,
0x1f639	বিড়াল,
0x23f0	ভীতি,ঘড়ি,
0x1f478	রাণী,প্রিন্সেস,
0x1f525	শিখা,অগ্নি,আগুন,
0x1f530	সূচনাকারী,
0x1f331	তরুণ,
0x1f625	আদতে,
0x2653	মাছ,রাশি,
0x1f469	নারী,মহিলা,
0x1f49d	পটি,উপহার,উপহার,
0x1f382	জন্মদিন,পিঠা,ময়দা,
0x1f366	ক্রিম,ডেজার্ট,বরফ,নমনীয়,
0x1f44d	অঙ্গুষ্ঠ,সেরা,
0x1f4cc	আলপিন,
0x1f534	বৃত্ত,লাল,
0x1f4dd	পেনসিল,
0x1f337	স্নেহ,
0x1f1eb,0x1f1f7	ফ্রান্স,
0x1f624	লজ্জা,বিপর্যস্ত,
0x1f4f9	ক্যামেরা,ভিডিও,
0x1f384	বড়দিনের পর্ব,অনুষ্ঠান,গাছ,
0x1f614	পদত্যাগ কর,চিন্তা,
0x1f62a	ঘুমা,নাক ডাকা,
0x1f3b5	সঙ্গীত,লিখন,
0x1f6b8	শিশু,অতিক্রম,পথচারী,
0x1f6bf	জল,
0x1f4af	সম্পূর্ণ,শত,পরখ,শ্রেণী,
0x1f51d	তীর,শীর্ষ,উপর,
0x1f44e	নিচে,মরা,খারাপ,
0x1f386	আতসবাজী,
0x1f6b0	পান,
0x1f51b	অন,
0x1f4c5	খেজুর,
0x1f388	ওঠা,
0x1f64e	সংকেত,
0x1f4c6	পাঁজি,
0x1f381	কোষ,প্যাকেজ,
0x1f341	পাতা,
0x1f631	চেঁচা,
0x1f61a	বন্ধ,লাজুকতা,
0x1f64f	পুছা,প্লিজ,প্রার্থনা করা,আশা,
0x1f1f7,0x1f1fa	রাশিয়া,
0x1f470	নববধূ,গুণ্ঠন,বিবাহ,বিবাহ,
0x1f51a	শেষ,
0x1f60b	সুস্বাদু,লেহন,সুস্বাদু,
