
0x1F600	얼굴,하하,허허,미소,웃음,헤벌쭉,헤헤,즐거움,좋아,굿,
0x1F601	눈,히히,스마일,김치,씨익,크크,키키,푸하하,재밌음,ㅋㅋㅋ,ㅋㅋ,
0x1F602	기쁨,웃겨,웃기다,웃김,깔깔,
0x1F603	입,열기,방긋,웃긴척,하하하,ㅎㅎ,ㅎㅎㅎ,
0x1F604	눈웃음,재밌어,재미있어,재밌네,
0x1F605	땀,감기,삐질삐질,긴장,땀삐질,식은땀,당황,식겁,죄송합니다,민망,당황스러움,
0x1F606	만족,껄껄,꺄륵,최고,신남,신나네,신나,
0x1F609	눈짓,윙크,애교,찡끗,눈깜빡,찡긋,
0x1F60A	보조개,흐믓,넘좋아,부끄,발그레,부끄러,부끄러워,
0x1F60B	맛있는,풍미,얌,맛있다,낼름,냘름,쩝쩝,냠,맛있겠다,츄릅,맛남,맛,
0x1F60E	밝은,안경,색안경,선글라스,요원,맨인블랙,멋진척,당당함,당당하네,당당해,당당,
0x1F60D	두근,반했어,뿅,반함,뿅뿅,
0x1F618	키스,뽀뽀,쪽,쪽쪽,쪽쪽쪽,
0x263A	편안한,부끄부끄,호호,편안함,편안해,
0x1F610	무심한,무표정,어쩌라고,아닌데,별로야,무심함,무심해,무심하네,
0x1F611	미숙한,뭐냐,헐,이런,삐짐,짜증남,
0x1F636	조용한,조용,말못해,
0x1F60F	능글,피식,무시,자신감,깝죽,씩,훗,
0x1F623	인내심,참자,아파,찔끔,윽,끙,아픔,아퍼,
0x1F625	실망한,안심,아휴,다행,아니야,쏘리,미안,죄송,휴,슬픔,
0x1F62A	자다,졸려,쿨쿨,잘자,졸림,
0x1F62B	피곤한,피곤,피곤해,힘들어,꺄,역겨움,으악,피곤함,피곤하네,
0x1F634	수면,잠,잠와,졸리다,잠잠,졸려요,쌔근쌔근,수면중,숙면,
0x1F60C	안도의,살았다,안도,
0x1F61B	혀,메롱,
0x1F61C	농담,까꿍,
