0x1f615	എന്ത്,
0x1f602	ആനന്ദം,അട്ടഹസിക്കുക,കണ്ണുനീർ,കണ്ണുനീർ,കളി,
0x1f60d	സ്നേഹം,ഹൃദയം,
0x1f61d	രുചി,ഓക്കാനം,
0x1f468	ആണ്,കക്ഷി,
0x1f618	ചുംബനം,
0x1f603	വായ,തുറന്ന,
0x1f525	ആസക്തി,തീ,
0x1f60e	കണ്ണട,സൂര്യന്,ഏജന്റ്,
0x1f606	വിശ്വാസം,പോലെ,
0x1f62a	ഉറക്കം,കൂർക്കം വലി,
0x1f610	വീര്യം,ഇല്ല,
0x1f625	ആശയക്കുഴപ്പം,നാണം,
0x1f622	കരയുക,
0x1f60c	അനായാസം,
0x1f384	ക്രിസ്തുമസ്,ആഘോഷം,മരം,
0x1f64a	സംസാരിക്കുക,
0x1f62e	മമത,
0x1f601	കണ്ണ്,ദന്തം,അദ്ദേഹം,നല്ല,
0x1f60a	സംതൃപ്തി,
0x1f61b	നാവ്,
0x1f449	ശരി,
0x1f621	രോഷം,ചുവപ്പ്,
0x1f64f	ചോദിക്കുക,പ്രതീക്ഷ,
0x2b50	നക്ഷത്രമത്സ്യം,
0x1f636	ബട്ടണ്,
0x1f600	മുഖം,ഇഷ്ടം,നല്ലത്,പുഞ്ചിരി,
0x1f617	മുഖം,ചുംബനം,
0x1f609	രഹസ്യം,ചെക്ക്,തമാശ,
0x1f61c	കളിയാക്കുക,
0x1f44f	ധ്വനി,
0x1f626	എങ്ങനെ,
0x1f637	മാസ്ക്,വൈദ്യം,ഇൻഫ്ലുവെൻസ,ഇൻഫ്ലുവെൻസ,
0x1f60f	ഫലിതം,
0x2728	താരം,
0x1f339	കുമ്പസാരം,പനിനീർപ്പൂവ്,
0x1f612	വിരസമായ,
0x1f607	മാലാഖ,
0x1f605	ഇളം ചാരനിറമുളള,വിയർപ്പ്,കുഴപ്പം,ചാമ,
0x1f44c	പണം,
0x1f31f	ശുക്രന്,കാന്തി,ആജ്ഞ,
0x26bd	ഫുട്ബോള്,ഫുട്ബോള്,ഫിഫ,
0x1f623	ആര,വേദന,
0x1f6a9	അവസ്ഥ,
0x1f611	അപ്രീതി,
0x270b	കടലാസ്,കൈ,
0x1f3c3	മാരത്തണ്,ഓട്ടം,ഡാഷ്,ആശ്വാസം,
0x1f614	ചിന്ത,
0x1f6b6	നടക്കുക,നടത്തം,
0x1f620	കോപം,
0x1f469	സ്ത്രീ,
0x2705	അടയാളം,സ്ഥിരീകരിക്കുക,
0x1f62b	പീഡനം,സ്വാദ്,വിലാപം,
0x1f624	വിജയം,ലജ്ജ,
0x1f613	മാപ്,
0x1f381	പാക്കേജ്,
0x1f466	ആണ്കുട്ടി,ചെറിയ,
0x1f64c	ആഘോഷം,തള്ളുക,
0x1f490	പൂവ്,
0x1f52b	തോക്ക്,റിവോൾവർ,കാണ്ഡം,പിസ്റ്റൾ,കുറ്റവാളി,
0x1f4a5	നാശം,
0x1f30f	ഏഷ്യാ,ഓസ്ട്രേലിയ,
0x1f528	ഉപകരണം,
0x1f497	പൾസ്,ബന്ധം,
0x1f337	പ്രതിപത്തി,
0x1f388	ഉയരുക,
0x1f61e	അന്ധകാരം,
0x270a	ഇടി,കെണി,തടസ്സം,
0x1f382	ജന്മദിനം,കേക്ക്,
0x1f630	നീല,
0x1f446	വിരൽ,കൈ,സൂചിക,അംശം,
0x1f36d	മിഠായി,
0x1f467	രാശിചക്രം,പെണ്കുട്ടി,
0x1f646	ശരി,
0x1f535	പിഴ,
0x1f49d	റിബണ്,സമ്മാനം,വർത്തമാന,
0x1f551	ക്ലോക്ക്,രണ്ട്,
0x1f46b	ഇണ,പിടിക്കുക,
0x1f4b0	ബാഗ്,ഡോളർ,ബാങ്ക്,ബഡ്ജറ്റ്,
0x1f534	വൃത്തം,ചുവപ്പ്,
0x2753	അന്വേഷണം,
0x2614	കണം,
0x1f64b	അഭിനന്ദനം,
0x1f627	എന്തുകൊണ്ട്,
0x1f448	വിരൽ,സൂചിക,അംശം,ഇടത്,പിസ്റ്റൾ,
0x1f494	അവധി,വിവാഹമോചനം,
0x1f432	വ്യാളി,
0x1f62d	കരച്ചിൽ,
0x1f3b6	സംഗീതം,കുറിപ്പ്,
0x1f4cc	ആണി,
0x1f619	ഊതു്,
0x1f46c	മിഥുനം,കുണ്ടൻ,
0x1f46d	ലെവ്സ്,
0x1f50a	വാല്യം,സ്പീക്കർ,ശബ്ദം,
0x1f3bc	സംഗീതം,അടയാളം,കുറിപ്പ്,
0x1f47b	അടിമ,മുഖം,യക്ഷിക്കഥ,
0x1f3b5	സംഗീതം,കുറിപ്പ്,
0x1f628	പേടി,ഭയം,മലിനം,
0x1f4aa	പേശി,അധികാരം,
0x1f385	ക്രിസ്തുമസ്,അച്ഛന്,
0x1f300	കൊടുങ്കാറ്റ്,ചുഴലിക്കാറ്റ്,ആക്രമണം,ചുഴലിക്കാറ്റ്,
0x1f49c	ധൂമ്രനൂൽ,
0x1f318	ചന്ദ്രന്,
0x1f61f	ആശങ്ക,
0x1f608	പക,
0x1f47f	ഭൂത,ചെകുത്താൻ,
0x1f479	അടിമ,afrit,
0x1f480	മരണം,പാറ,അസ്ഥികൂടം,
0x1f47d	നാസ,പരദേശി,
0x1f4a9	ചിത്രകഥ,
0x1f639	പൂച്ച,
0x1f648	ആംഗ്യഭാഷ,കുരങ്ങന്,അല്ല,കാണുക,മറയ്ക്കുക,
0x1f649	കേൾക്കുക,
0x1f476	വാവ,ഇളയതായ,
0x1f46e	അധികാരി,പോലീസ്,
0x1f482	ജാഗ്രത,
0x1f478	രാജ്ഞി,രാജകുമാരി,
0x1f473	തലക്കെട്ട്,ഇസ്ലാം,
0x1f470	വധു,ആവരണം,കല്യാണം,വിവാഹം,
0x1f645	കൈ,
0x1f481	സഹായം,അറിവ്,ഇങ്ങേ,
0x1f647	ക്ഷമാപണം,വില്ല്,അഭിപ്രായം,
0x1f487	സൗന്ദര്യം,
0x1f483	നൃത്തം,തുളളിച്ചാടുന്നവൻ,പന്ത്,നൃത്തം,
0x1f46f	മുയല്,
0x1f464	ആകാരം,
0x1f3c4	ബീച്ച്,
0x1f6a3	വഞ്ചി,കനോ,അവലംബം,
0x1f3ca	നീന്തുക,നീന്തല് മത്സരം,പൂൾ,വിശ്രമം,കടൽ,
0x1f48f	നമ്മൾ,
0x1f491	ഈന്തപ്പന,
0x1f46a	കുടുംബം,കുടുംബം,
0x261d	ആകാശം,ഒന്ന്,
0x270c	വിജയം,കത്രിക,അംശം,രണ്ട്,
0x1f44e	മരിക്കുക,കെട്ടത്,
0x1f44a	തല്ലുക,
0x1f44b	തരംഗം,
0x1f485	ശ്രദ്ധ,അംഗരാഗങ്ങൾ,ആണി,കാന്തി,
0x1f463	ഉടുപ്പു,പാദം,അങ്കം,നട,
0x1f445	ശരീരം,
0x1f498	അമ്പ്,പ്രേമം,
