0x1f615	என்ன,
0x1f602	இன்பம்,சிரி,கண்ணீர்,கடுநகை,கண்ணீர்,வேடிக்கை,வேடிக்கையான,
0x1f60d	அன்பு,இதயம்,
0x1f60e	ஒளிபொருந்திய,குளிர்,கண்ணாடி,சூரியன்,முகவர்,
0x1f64f	கேள்,தயவு செய்து,இர-த்தல்,நம்பிக்கை,
0x1f44c	பணம்,
0x1f61d	சுவை,குமட்டல்,
0x1f447	கீழ்,விரல்,கை,அட்டவணை,புள்ளி,
0x1f4aa	கெண்டை,தசை,சக்தி,
0x1f603	வாய்,மலர்தல்,
0x1f468	ஆண்,காயீ,
0x1f636	அமைதி,பொத்தான்,சாத்துதல்,நேர்ந்தபடி,
0x1f600	முகம்,சிரி,அன்பான,மகிழ்ச்சி,இணங்குதல்,நல்ல,புன்னகை,
0x1f412	குரங்கு,
0x1f601	கண்,சிரி,செப்பமான,ஒளிக்கடல்,அவன்,நல்ல,
0x1f37c	புட்டி,குடி,பால்,
0x1f44d	கட்டைவிரல்,நல்ல,
0x1f60a	சிவ-த்தல்,அகங்காரி,கூச்சக்காரன்,இன்பம்,திருத்தி,திருத்தி,
0x1f525	சுடர்,எரிவு,தீ,தீ,
0x1f621	கோபம்,பைத்தியம்,மூஞ்சியைதுக்கிக்கொள்தல்,கோபம்,சிவப்பு,வருத்துதல்,
0x1f618	முத்தம்,சென்று வருகிறேன்,நொட்டை,எத்து-தல்,
0x1f609	இமைத்தல்,கண்ணிமைத்தல்,இரகசியம்,தடுத்தல்,பரிகாசம்,
0x1f62d	ஏங்கு-தல்,கத்து,அழுகை,அழுகை,
0x1f6b6	நட,நடக்கை,உலாவுகை,
0x1f606	நம்பிக்கை,விருப்பம்,அன்பான,
0x1f3a4	கரோக்கி,பாடகன்,பாட,
0x1f60f	பகடிக்காரன்,பரிகாசம்,
0x1f631	மஞ்ச்,உரைதடுமாறுதல்,
0x1f622	அழு,இருள்,
0x1f626	சுடுசுடு-த்தல்,எப்படி,அயுக்தி,
0x1f607	தேவதை,பிரபை,மடமையான,முனிவன்,
0x1f61c	கேலி,
0x1f617	முகம்,முத்தம்,
0x1f490	மலர்,கிளை,
0x1f612	சூர்வு,மாறுபடுதல்,மழுங்கிய,
0x1f610	இல்லை,
0x1f64c	கொண்டாட்டம்,தள்ளு,
0x1f605	குளிர்,வேர்வை,அச்சம்,குழப்பம்,அச்சம்,
0x1f1ee,0x1f1f9	இத்தாலி,
0x1f3c3	மாரத்தான்,ஓட்டம்,இனம்,இடாசு,தப்புதல்,
0x1f623	நெருக்கு-தல்,வலி,வலி,அகிதம்,
0x1f639	பூனை,
0x1f604	நன்றி,
0x1f4a5	அதிர்கை,
0x1f637	மருத்துவர்,முகமூடி,மருந்து,கட்டி,இன்ஃபுளுவென்சா,கெட்ட,இன்ஃபுளுவென்சா,
0x1f61b	நாக்கு,
0x1f608	வர்மம்,தீமையான,
0x1f625	கலக்கம்,கண்கூடாக,அலங்கோலம்,
0x1f382	பிறந்தநாள்,கேக்,பணியாரம்,
0x1f389	ஆசிகூறுதல்,
0x1f6ab	அரை,தடை,தடை,
0x1f4a6	சிதறுகை,
0x1f62c	பழிப்பு,கடித்தல்,
0x270a	கடிகம்,பஞ்ச்,கொக்கி,தடுத்தல்,
0x1f62e	இரக்கம்,
0x1f531	அடையாளம்,சூலம்,
0x1f60c	கனவல்,சுகம்,தளரச்செய்தல்,
0x1f422	ஆமை,ஆமை,ஆமை,
0x1f31f	இலங்குகை,தோன்றுதல்,சுக்கிரன்,பிரகாசித்தல்,விளங்குதல்,அறிக்கை,
0x1f496	ஒளிவீசுதல்,இமை,ஆதரித்தல்,
0x1f44a	தாக்கு,
0x1f3b6	இசை,குறிப்பு,குறிப்பு,
0x274c	நீக்கு,பெருக்கல்,பெருக்குதல்,
0x1f49e	சுழற்சி,
0x1f64a	பேசுதல்,மௌனமாய்,மௌனம்,அமைதியாய்,
0x1f449	அறிவித்தல்,உரிமை,
0x1f620	கோபம்,
0x1f61e	கவலை,குலை-த்தல்,இருள்,
0x1f339	அறிக்கை,ரோஜா,
0x1f4a7	குளிர்,வரைகதை,துளி,வேர்வை,
0x1f3b5	இசை,குறிப்பு,
0x1f493	அடிக்கை,இதயத் துடிப்பு,துடி,கடுப்பு,
0x1f64b	வணக்கம்,வாழ்த்து,நான்,
0x1f494	முறிதல்,விவாகரத்து,
0x1f62b	வருத்துதல்,அனுங்கு-தல்,
0x1f3b8	கருவி,விளையாட்டு,கிட்டார்,
0x1f483	நடனம்,நடன,பந்து,ஆடல்,
0x1f614	குலை-த்தல்,உன்னல்,
0x1f611	அடக்கம்,ஊடல்,வெறுத்தல்,
0x1f628	பயம்,அஞ்சு,அருவருக்கத்தக்கவன்,
0x1f624	வெற்றி,நாணம்,கீழ்மேலாக்குதல்,
0x1f60b	சுவையான,நக்கு-தல்,சுவையான,
0x1f634	சிறுதுயில்,உறக்கம்,
0x2728	ஒளிவீசுதல்,விண்மீன்,
0x1f49d	ரிப்பன்,ஈகை,வெகுமதி,
0x2614	துளி,
0x1f446	விரல்,கை,அட்டவணை,புள்ளி,உயர,
0x1f304	காலை,மலை,சூரியன்,காலை,
0x26a1	மின்சாரம்,மின்னல்,மின்னழுத்தம்,இடியேறு,தீப்பொறி,இடி,
0x1f49c	ஊதா,தைரியசாலி,
0x1f47b	முகம்,விசித்திரக் கதைகள்,அரக்கன்,
0x2795	கூட்டல்,
0x270b	காகிதம்,உள்ளங்கை,
0x1f499	உறை,
0x1f44e	கீழ்,இறத்தல்,கெட்ட,
0x1f34c	வாழைப்பழம்,
