0x1f615	پریشان,كيا,
0x1f602	خوشی,ہنسنا,آنسو,آنسو,مزہ,مزاحیہ,
0x2728	تارا,
0x1f447	نیچے,انگلی,ہاتھ,فہرست,نقطہ,
0x1f339	گلاب,
0x1f61d	خطرناک,ذائقہ,
0x1f33c	کون,جوانی,
0x1f636	خاموش,خاموش,بٹن,بند کرنا,
0x1f60d	محبت,خوبصورت,دل,
0x1f337	محبت,
0x1f603	منہ,کھلنا,اوسط,عام,خوش,
0x1f48e	خزانہ,
0x1f468	آدمی,رسی,
0x1f343	ہوا,اداس,اکیلا,ہوا دار,
0x1f60e	روشن,ٹھنڈا,عینک,سورج,کا رندہ,
0x1f600	چہرہ,مسکرانا,گوارا,خوش,شاد,ماننا,خوش,اچھا,مسکانا,
0x1f606	خوش,اعتبار,گرم,طرح,پیارا,
0x1f622	رونا,اندھیرا,اداس,
0x1f626	کیسے,غفلت,
0x1f33f	پتی,نبات,
0x1f609	جھپک,سر,روکنا,مذاق,
0x1f604	دھنیہ واد,
0x1f601	آنکھ,کامل,دانت,وہ,اچھا ہے,
0x1f61b	زبان,
0x1f60a	فخر ہے,تشہیر,لال,اطمینان,قناعت,
0x1f496	چمک,چاہنا,
0x2615	مشروب,کافی,گرم,چای,جاوا,
0x1f648	برا,منع,اشارہ,بندر,نہیں,منع,دیکھنا,اندھا,چھپانا,
0x270b	کاغذ,ہتھیلی,
0x1f31f	چمک,دکھایا,زہرہ,چمک,جهلملانا,نوٹس,
0x1f33a	پھول,
0x1f60f	سمجھ,مذاق,مسکرانا,
0x1f612	اداس,سست,
0x1f352	مہنگا,
0x1f338	پھول,چیری,بہار,
0x1f618	چمبان کرنا,خدا حافظ,لالچ,
0x1f494	ٹوٹنا,طلاق,
0x1f342	پتی,
0x1f380	jashn,
0x1f64a	بولنا,خاموش,
0x1f621	روٹھا,پاگل,بخار,سرخ,
0x1f515	گھنٹہ,منع,خاموش,جی نہیں,نہیں,منع,خاموش,خاموش,
0x1f610	جی نہیں,
0x2614	پڑنا,
0x1f525	آگ,جل رہا ہے,آگ,
0x1f62d	رو رہی ہے,جیل,
0x1f614	خارج کر دیا,اداس,چھوڑنا,خیال,
0x1f49a	سبز,اخلاق,
0x1f493	ضرب,
0x2705	نشانی,تصدیق کریں,
0x1f637	ڈاکٹر,چہرہ,ڈرگ,نزلہ,بیمار,
0x1f49c	جامنی,بهادر,
0x1f33b	سورج مکھی,
0x1f448	انگلی,فہرست,نقطہ,باياں,تپانچہ,
0x1f60b	مزیدار,چاٹنا,مزے دار,
0x1f1f0,0x1f1f7	کوریا,
0x1f381	صندوق,پیکیج,
0x1f331	جوان,
0x1f490	پھول,گلدستگی,
0x1f60c	آرام,
0x1f422	کچھوا,کچھوا,
0x1f341	پتی,
0x1f340	چار,
0x1f497	ناڑي,پیٹنا,تعلق,
0x1f44c	یقینی,مال,
0x1f631	چبانا,چیخ,
0x1f617	چہرہ,چمبان کرنا,
0x2757	نشانی,رموز اوقاف,
0x1f44f	تالی,
0x1f4da	پڑھایٔ,
0x1f4ab	تارا,گھماؤ,
0x1f620	غصہ,
0x1f605	ٹھنڈا,پسینہ,خوف,الجھن,
0x1f49d	ربن,تحفہ,اپستھت,
0x1f607	فرشتہ,تخیلہ,ہیلو,معصوم,بزرگ,
0x1f61f	پریشان,فکر,ڈر,
0x1f64f	پوچھنا,مہربانی,عبادت کرنا,امید,
0x1f42f	چہرہ,شیر,
0x1f61e	چںتا,اداس,
0x1f634	سست,
0x1f49b	پیلا,مثبت,
0x1f64c	jashn,دھکا,
0x1f305	صبح,افق,طلوع,
0x1f518	ریڈیو,
0x1f44d	انگوٹھا,بہترین,
0x1f623	جاری رکھنا,درد,درد,زخمی,
0x270a	مٹھی,کانٹا,رکنا,
0x1f388	اٹھنا,
0x1f33e	کان,بیج,چاول,فائدہ,فارم,جو,گندم,
0x1f4aa	عضلہ,شکتی,
0x1f625	مایوس,مشکل,واقعی,
0x1f451	بادشاہ,سونا,تاج,
0x1f319	ہلال,
0x1f3c3	میراتھن,دوڑ,پھینکنا,فرار,
0x1f304	صبح,پہاڑ,سورج,طلوع,
0x1f64b	سلام,سلام,مجھ,
0x1f483	ناچ,رقاص,گولا,رقص,
0x26a1	برق,بجلی,وولٹیج,مارنا,تھنڈربالٹ,چنگاری,گرج,
0x1f479	ديو,
0x1f449	دکھانا,ٹھیک,
0x1f332	پیڑ,
0x1f628	ڈرنا,ڈرا ہوا,گندا,
0x1f630	نیلا,
0x1f611	ناپسند کرنا,
0x1f639	بلی,
0x1f4a5	دھماکے,کڑک,
0x1f613	ساری,بیمار,
0x1f4f6	محاس,بار,خلیہ,محمول,فون,سگنل,ٹیلیفون,
0x1f4a7	ٹھنڈا,مزاحیہ,پڑنا,پسینہ,
0x264c	شیر,
0x1f38a	کَدّو,
0x1f4ad	وچار,
0x1f36d	کينڈی,
0x1f62a	سونا,خراٹا لینا,
0x1f4a0	اندر,
0x1f44a	مارنا,
0x1f320	شکار,تیز,الکا,
0x1f31d	روشن,چہرہ,پورا,چاند,
0x1f608	خراب,
0x1f6ab	دخل,نہیں,منع,
0x1f649	سننا,بھاری,خاموش,
