0x1f602	આનંદ,આંસૂં,આંસૂં,મનોરંજન,
0x1f636	શાંત,બટન,
0x1f61d	સ્વાદ,ફીકું,
0x1f609	ચેક,
0x1f64f	આશા,
0x1f468	પુરુષ,
0x1f601	આંખ,દાંત,તે,
0x1f447	આંગળી,હાથ,તર્જની,બિંદુ,
0x1f60e	સૂર્ય,તડકાનાં ચશ્માં,એજન્ટ,
0x1f603	મુખ,ખોલવું,
0x1f61b	જીભ,
0x1f621	લાલ,
0x1f606	સંતુષ્ટ,ટ્રસ્ટ,ઉદાહરણાર્થ,
0x1f33e	કાન,અનાજ,ચોખા,ધાન્ય,ખેતર,જવ,ઘઉં,
0x1f612	નીરસ,નીરસ,
0x1f49f	આપત્કાલ,
0x1f617	મુખ,ચુંબન,
0x1f639	બિલાડી,
0x1f33b	સૂર્યમુખી,
0x1f44c	ખાતરી કરો કે,પૈસો,
0x1f337	પ્રેમ,
0x1f44d	અંગૂઠો,
0x1f339	ગુલાબ,
0x1f1ee,0x1f1f9	ઈટલી,
0x1f60a	સંતુષ્ટ,
0x1f600	મુખ,સંતુષ્ટ,સારી,મલકવું,
0x1f474	પુરુષ,
0x270b	કાગળ,તાડવૃક્ષ,
0x26c4	બરફનું આદમી,
0x1f610	તટસ્થ,નથી,
0x1f623	પીડા,પીડા,
0x1f698	ઓટોમોબાઇલ,
0x1f605	ઠંડું,પરસેવો,
0x1f449	દેખાડવું,સાચું,
0x1f622	રુદન,
0x1f41d	મધુમાખી,
0x1f52b	બંદૂક,મૈથુન,
0x2705	લક્ષ્ય,પુષ્ટિ કરો,
0x1f343	પવન,નીરસ,
0x1f60d	પ્રેમ,હૃદય,
0x1f4ca	ચાર્ટ,
0x1f33a	ફૂલ,
0x1f6a9	પોસ્ટ કરો,
0x1f62b	ત્રાસ,
0x1f338	ફૂલ,ચેરી,વસંત,
0x1f3c3	મેરેથોન,જાતિ,ડેશ,
0x1f637	દાકતર,માસ્ક,દવા,શરદી,બીમાર,શરદી,
0x270a	ઠૂંસો,ઠૂંસો,થોભો,
0x2796	ગણિત,નદી,
0x2753	ક્વેરી,
0x1f3ad	કલા,અનામ,
0x2728	તારો,
0x1f340	ચાર,
0x1f4d8	વાદળી,પુસ્તક,
0x1f469	સ્ત્રી,મહિલા,
0x1f342	પાન,
0x1f64b	მე,
0x1f4a7	ઠંડું,પરસેવો,
0x1f44a	હિટ કરો,
0x1f470	કન્યા,લગ્ન,
0x26fd	બળતણ,
0x1f497	જોડાણ,
0x1f60c	સગવડ,
0x1f632	કોઈ રીતે,
0x1f442	શરીર,
0x1f33f	પાન,છોડ,
0x1f539	વાદળી,હીરો,
0x2b50	તારા માછલી,
0x1f36f	મધુ,
0x1f341	પાન,
0x1f48c	પત્ર,મેલ,
0x1f648	નિષ્દ્ધિ,જેસ્ચર,વાનર,નથી,નિષ્દ્ધિ,જુઓ,
0x2797	વિભાગ,
0x1f498	તીર,
0x1f47f	શેતાન,
0x2615	પેય,કૉફી,ગરમ,ચા,જાવા,
0x1f630	વાદળી,
0x1f697	કાર,
0x1f331	યુવાન,
