0x1f615	ಏನು,
0x1f447	ಬೆರಳು,ಕೈ,ಸೂಚಿ,ಬಿಂದು,
0x1f60d	ಪ್ರೀತಿ,ಹೃದಯ,
0x1f61d	ರುಚಿ,
0x1f602	ನಗು,ತುಂಡು,ತುಂಡು,
0x1f468	ಮನುಷ್ಯ,
0x1f44c	ಹಣ,
0x1f636	ಗುಂಡಿ,
0x1f603	ಬಾಯಿ,ತೆರೆಯಿರಿ,
0x1f60e	ಕನ್ನಡಕ,ಸೂರ್ಯ,ಏಜೆಂಟ್,
0x1f606	ವಿಶ್ವಾಸ,
0x1f61b	ನಾಲಿಗೆ,
0x1f64f	ಕೇಳು,ಭರವಸೆ,
0x1f341	ಎಲೆ,
0x1f609	ಚೆಕ್,
0x1f62e	ಸಹಾನುಭೂತಿ,
0x26a1	ವಿದ್ಯುತ್,ಮಿಂಚು,
0x1f605	ಶೀತ,ಬೆವರು,
0x1f4aa	ಸ್ನಾಯು,ನಿಯಂತ್ರಣ,
0x1f617	ಮುಖ,ಮುತ್ತು,
0x1f3a5	ಕ್ಯಾಮರ,ಓಡುತಿಟ್ಟ,
0x1f621	ಕ್ರೋಧ,ಕೆಂಪು,ಕಾಡು,
0x1f618	ಮುತ್ತು,
0x1f490	ಹೂವು,
0x1f6a9	ಪೋಸ್ಟ್,
0x270b	ಕಾಗದ,
0x26f3	ಗಾಲ್ಫ್,
0x1f600	ಮುಖ,ಉತ್ತಮ,ನಗೆ,
0x1f37b	ವಿನೋದ ಕೂಟ,
0x1f4cc	ಪಿನ್,
0x2615	ಕಾಫಿ,ಚಹಾ,ಜಾವಾ,
0x2728	ನಕ್ಷತ್ರ,
0x1f339	ಗುಲಾಬಿ,
0x1f626	ಹೇಗೆ,
0x1f64a	ಎನು,
0x1f48f	ನಾವು,
0x1f40f	ಪುರುಷ,ಕುರಿ,
0x1f31f	ಶುಕ್ರ,
0x2705	ದೃಢಪಡಿಸಿ,
0x1f610	ಇಲ್ಲ,
0x231a	ಗಡಿಯಾರ,
0x1f474	ಮನುಷ್ಯ,
0x1f493	ಎದೆ ಬಡಿತ,
0x1f601	ಕಣ್ಣು,ಚಕಲ್,ಅವನು,
0x1f623	ನೋವು,ನೋವು,
0x1f46b	ಹಿಡಿಯುವಿಕೆ,
0x1f52a	ಪರಿಕರ,ಆಯುಧ,ಕೊಲ್ಲು,
0x1f44d	ಹೆಬ್ಬೆರಳು,
0x1f619	ಊದು,
0x1f62a	ನಿದ್ರೆ,ಗೊರಕೆ,
0x1f61e	ಆತಂಕ,
0x1f62d	ಅಳುವಿಕೆ,
0x1f627	ಏಕೆ,
0x1f628	ಹೆದರಿಕೆ,
0x1f630	ನೀಲಿ,
0x1f620	ಕೋಪ,
0x1f637	ಮುಖವಾಡ,ಮದ್ದು,ಇನ್ಫ್ಲುಯೆನ್ಜ,ಜ್ವರ,
0x1f47f	ದೆವ್ವದ,
0x1f480	ಮರಣ,ಕಲ್ಲು,ಅಸ್ಥಿಪಮ್ಜರ,
0x1f4a9	ಕೋಮಿಕ್,ರಾಸಾಯನಿಕ ಗೊಬ್ಬರ,
