0x1f615	काय,
0x1f602	आनंद,हसने,आंसू,आंसू,
0x1f61d	स्वाद,फिके,मळमळ,
0x1f636	शांत,बटण,
0x1f468	माणूस,
0x26f3	गोल्फ,
0x1f606	तोषी,विश्वास,जसे,
0x1f603	तोंड,उघडा,
0x1f64f	आशा,
0x270a	घट्ट मुठ,ठोसा,थांबा,
0x1f60e	छान,सूर्य,एजंट,
0x1f609	डोळा मारणे,गुपित,तपासा,चुटकुले,
0x1f60d	प्रेम,ह्रुदय,
0x1f490	फूल,
0x1f60b	रुचकर,
0x1f447	खाली,अंगुली,हात,अनुक्रमणिका,बिंदू,
0x1f601	डोळा,हेहे,तो,छान,
0x1f6a9	टपाल,
0x1f621	लाल,
0x1f61b	जीभ,
0x1f44c	पैसा,
0x1f44d	आंग्ठा,
0x1f449	दर्शविणे,बरोबर,
0x1f600	चेहरा,मंदस्मित,तोषी,चांगले,हास्य,
0x2b50	तारामासा,
0x1f6b6	चाला,चालणे,
0x1f47f	शैतान,
0x1f617	चेहरा,चुंबन,
0x1f605	थंड,घाम,
0x25fe	चौरस,
0x1f639	मांजर,
0x1f33b	सूर्यफूल,
0x1f618	चुंबन,
0x1f338	फूल,चेरी,बसन्त,
0x1f339	गुलाब,
0x1f33f	पाने,ओषधी,
0x2615	पेय,कॉफी,गरम,उकडणे,चहा,जावा,
0x1f44a	हिट,
0x1f3c3	मॅरॅथॉन,धावणे,डॅश,
0x1f607	तेजोवलय,संत,
0x1f343	वारा,
0x1f608	चांडाल,
0x1f3af	लक्ष्य,
0x1f382	वाट दिवस,केक,
0x1f539	निळा,हिरा,
0x1f622	रडणें,
0x1f42f	चेहरा,वाघ,
0x1f4f1	कक्ष,
0x1f332	झाड,
0x1f637	डाक्टर,मास्क,औषद,सर्दी,सर्दी,
0x1f610	नाही,
0x2648	मेंढा,
0x1f64b	नमस्कार,मला,
0x26a1	वीज,विद्युतदाब,ठिणगी,कडकडाट,
0x26bd	फुटबॉल,फुटबॉल,
0x1f647	धनुष्य,
0x1f538	हिरा,नारिंगी,
0x1f31f	व्हीनस,नोटीस,
0x1f337	प्रीति,
0x26fd	इंधन,
0x1f3ad	कला,अनामिक,
0x1f506	प्रखरता,
0x2753	क्वेरी,
0x2705	चिन्ह,पुष्टी करा,
0x1f30e	अमेरिका,पश्चिम,
0x1f33a	फूल,
0x1f612	नीरस,नीरस,
0x1f405	वाघ,
0x274c	रद्द करा,गुणाकार,
0x1f483	बॉल,नृत्य,
0x1f413	कोंबडा,
0x1f630	निळा,
0x2796	गणित,वजाबाकी,नदी,
0x1f1ee,0x1f1f9	इटली,
0x1f467	कन्या रास,राशीचक्र,मुल्गी,
0x1f623	दुख,दुख,
0x1f627	का ?,
0x1f448	अंगुली,अनुक्रमणिका,बिंदू,वाम,
0x1f4cc	पाय,
0x2728	तारा,
0x1f378	कॉक्टेल,मालदीव,
0x1f41f	मासा,पाणी,
0x1f466	मुलगा,लहान,
0x1f525	ज्योत,आग,
0x1f478	राणी,
0x1f30a	महासागर,त्सुनामी,
0x1f4c4	दस्तऐवज,पृष्ठ,
0x1f377	कांच,दारु,
0x1f487	न्हावी,सौंदर्य,
0x23f0	घड्याळ,
0x2757	चिन्ह,विरामचिन्हे,
0x1f628	घाबरने,
0x1f33e	कान,भात,धान्य,शेत,जव,गहू,
0x1f37a	बीयर,चेहरा,अस्वल,
0x1f470	विवाह,
0x1f49d	रिबन,भेट,दाखवणे,
0x1f648	निष्द्धि,हावभाव,बंदर,निष्द्धि,पाहणे,
0x1f62a	झोप,
0x1f46b	पकडणे,
0x1f477	बांधकाम,
0x1f4af	शंभर,पडताळा,
0x1f37c	बाटली,दारू,दूध,
