0x1f615	କଣ,
0x1f60e	ସୂର୍ଯ୍ୟ,ଏଜେଣ୍ଟ୍,
0x1f606	ବିଶ୍ୱାସ,
0x1f603	ଖୋଲିବା,
0x1f636	ବଟନ୍,
0x1f601	ଆଖି,
0x26ab	ବୃତ୍ତ,
0x1f64f	ଆଶା,
0x1f6a9	ପୋଷ୍ଟ,
0x1f628	ଡର,
0x1f617	ଚୁମ୍ବନ,
0x1f60d	ପ୍ରେମ,ହୃତ୍ପିଣ୍ଡ,
0x1f44c	ଅର୍ଥ,
0x2615	କଫୀ,ଚା,ଜବ ,
0x1f600	ଭଲ,
0x1f605	ଥଣ୍ଡା,
0x1f609	ୱିଙ୍କ୍,ପରୀକ୍ଷିତ,
0x1f618	ଚୁମ୍ବନ,
0x1f623	ଯନ୍ତ୍ରଣା,
0x1f62a	ସୁପ୍ତ,
0x1f61b	ଜିଭ,
0x1f613	ବେମାରିଆ,
0x1f62d	କ୍ରନ୍ଦନ,
0x1f630	ନେଳି,
0x1f621	ନାଲି,
0x1f637	ଡାକ୍ତର,ମାସ୍କ,ଔଷଧ,ଇନ୍ଫ୍ଲୁଏଞ୍ଜା,ବେମାରିଆ,
0x1f480	ମୃତ୍ୟୁ,କଙ୍କାଳ,
0x1f639	ବିଲେଇ,
0x1f648	ଅଙ୍ଗଭଙ୍ଗୀ,ବାନର,
0x1f476	ଶିଶୁ,ଶିଶୁ,
0x1f469	ନାରୀ,
0x1f46e	ପୁଲିସ୍,
0x1f478	ରାଣୀ,
0x1f473	ଇସଲାମ ଧର୍ମ,
0x1f470	ବିବାହ,
0x1f645	ହାତ,
0x1f646	ହଁ,
0x1f481	ସହାୟତା,ସୂଚନା,
0x1f64b	ମୋତେ,
0x1f647	କୋଦଣ୍ଡ,
0x1f487	ସୌନ୍ଦର୍ଯ୍ୟ,
0x1f3c3	dash,
0x1f483	ନର୍ତ୍ତକ,
0x1f46f	ଠେକୁଆ,
0x1f464	ପ୍ରୋଫାଇଲେ ,
0x1f3c4	ବେଳା ଭୂମି,
0x1f6a3	ଡଙ୍ଗା,
0x1f3ca	ସମୁଦ୍ର,
0x1f46b	ଧରି ରଖିବା,
0x1f46a	ପରିବାର,
0x1f4aa	ଶକ୍ତି,
0x1f448	ଅନୁକ୍ରମଣିକା,ବିନ୍ଦୁ,
0x261d	ଆକାଶ,ଏକ,
0x270c	ଦୁଇ,
0x270b	ପେପର୍,ପାପୁଲି,
0x270a	ସ୍ଥଗିତ କରନ୍ତୁ,
0x1f44a	ଆଘାତ,
0x1f485	କଣ୍ଟା,
0x1f497	ସଂଲଗ୍ନ,
0x1f49a	ଶାଗୁଆ,ସଣ୍ଠଣା,
0x1f49d	ରିବନଫିତା,ଦାନ,
