0x1f615	తడబడి,ఏమిటి,చిరచిర,
0x1f44d	బొటనవేలు,అత్యుత్తమ,
0x1f64f	అడుగు,చుట్టుకొని ఉండు,దయచేసి,ప్రార్థించు,ఆశించు,
0x1f405	పులి,
0x1f602	సంతోషం,నవ్వు,తుంచు,కన్నీటి బొట్టు,తమాషా,నవ్వించెడు,
0x1f61d	భయంకరమైన,రుచి,రుచిలేని,వికారం,
0x1f60e	బ్రైట్,చల్లార్చు,అద్దాలు,సూర్యుడు,సన్ గ్లాసెస్,ఉపకరణం,
0x1f449	తెలుపు,కుడి,
0x1f44f	క్లాప్,
0x2705	సూచించు,కుదుర్చు,
0x2796	గణిత,మైనస్,తీసివేత,నది,ఎవరు కాదు,
0x1f468	మగవాడు,వాటం తాడు,
0x1f601	కంటి,ఇకిలించు,హాయ్ హాయ్,పరిపూర్ణ,దంతాలు,అతడు,నైస్,
0x1f636	నిశ్శబ్దం,అనుచ్చరితం,గుండీ,మూయు,
0x270a	పిడికిలి,పొడుచు,కొక్కి,ఆపు,
0x1f621	కోపం,పిచ్చి,పిచ్చికోపం,ఎరుపు,చికాకు పెట్టు,
0x1f3c3	మారథాన్,పరుగెత్తుట,రేసు,డాష్,తప్పించు,
0x1f44c	కుదిరిన,డబ్బు,
0x1f606	తృప్తిపడిన,ట్రస్ట్,ఉద్రేకం చెందిన,ఇష్టము,
0x1f618	ముద్దు,లటుక్కున,ఎర,
0x1f38a	తలకాయ,
0x1f62e	జాలి,
0x1f4aa	ద్విశిర కండరం,తిప్పు,కండరం,శక్తి,
0x1f604	ధన్యవాదాలు,
0x1f600	ముఖము,నవ్వు,అనుకూల,ప్రశాంతం,ఒప్పుకో,జాలీ,మంచి,చిరునవ్వు,
0x1f490	పువ్వు,పువ్వు,పూగుత్తి,గుత్తి,
0x1f343	కొట్టుకోవడం,తెమ్మెర,విషం వ్యాపించుట,ఏకాంతమైన,
0x1f623	పోటు,నొప్పి,అత్యవసరం,హర్ట్,
0x1f31f	మెరుస్తూ,కనిపించు,శుక్రుడు,వెలుగు,షైన్,గమనించు,
0x1f337	అనురాగం,
0x1f525	జ్వాల,కాలుట,జ్వాల,నిప్పు,
0x1f620	ఆగ్రహం,
0x1f60d	ప్రేమ,సుందరంగా,గుండె,
0x1f62c	ఇకిలింపు,
0x2728	తళతళలాడు,స్టార్,
0x1f3e1	తోట,
0x1f609	రెప్పపాటు,రెప్పపాటు,రహస్యం,తనిఖీ,ఛలోక్తి,
0x1f61b	నాలుక,
